EntryNum	Timestamp	nodeType	CompleteNode	Core	Bank	Syndrome	Type	Addr	Socket	Apic	err_CPU_bit	scrub	L3_low	L3_high	ucc	ecc	pcc	miscInfo	ue	over	Date	weeknumber
4843	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	5de30a990	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4844	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	5de32a980	0	8	10	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4845	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	6dbaf1980	0	8	110	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4846	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	6dbc2a980	0	8	10	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4847	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	6dbcd0980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4848	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	6dbd0e980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4849	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	6dbe90980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4850	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	73c813980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4851	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	73d8b3990	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4852	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	73db50980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4853	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	73dbef980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4854	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	74a0ef9a0	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4855	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	74a371980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4856	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	7e7cf3990	0	8	100	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4857	1349737586	compute	c0-11c2s3n1	8	4	-1	NB Array Error	7e7d11990	0	8	100	0	0	1	0	1	0	1	0	1	2012-10-08 18:06:26	41
4858	1349737589	compute	c3-10c0s7n0	0	4	-1	NB Array Error	2902c2d4c	0	0	100	0	0	0	0	1	0	1	0	0	2012-10-08 18:06:29	41
4859	1349737745	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc4b507d0	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 18:09:05	41
4860	1349737771	compute	c7-4c2s0n1	16	4	-1	Table Walk Data Error	1.00E+300	1	20	0	0	1	0	0	1	0	1	0	0	2012-10-08 18:09:31	41
4861	1349737981	compute	c14-9c2s5n0	16	4	 Chipkill ECC syndrome = 8010	ECC Error	ae9de0040	1	20	0	0	0	0	0	1	0	1	0	0	2012-10-08 18:13:01	41
4862	1349738012	compute	c18-9c1s1n2	0	4	 Chipkill ECC syndrome = 80	ECC Error	280328290	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 18:13:32	41
4863	1349738195	compute	c5-4c2s3n3	24	4	 Chipkill ECC syndrome = 1004	ECC Error	dc4b512d0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 18:16:35	41
4864	1349738514	compute	c22-7c0s6n2	24	4	 Chipkill ECC syndrome = 163	ECC Error	e7848e9a0	1	28	0	0	0	0	0	1	0	1	0	0	2012-10-08 18:21:54	41
4865	1349738762	compute	c18-9c1s1n2	0	4	 Chipkill ECC syndrome = 40	ECC Error	2.80E+05	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 18:26:02	41
4866	1349738811	compute	c12-7c0s5n3	0	4	 Chipkill ECC syndrome = c602	ECC Error	339929a60	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 18:26:51	41
4867	1349738865	compute	c14-6c0s6n3	24	4	 Chipkill ECC syndrome = 15c	ECC Error	f3319ad60	1	28	0	0	0	0	0	1	0	1	0	1	2012-10-08 18:27:45	41
4868	1349738883	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	1dfff5690	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 18:28:03	41
4869	1349738890	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	1de46d490	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 18:28:10	41
4870	1349738890	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	1deff5690	0	0	0	0	0	0	0	1	0	1	0	1	2012-10-08 18:28:10	41
4871	1349738890	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	1dfff5690	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 18:28:10	41
4872	1349738891	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 4fd	ECC Error	1de665490	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 18:28:11	41
4873	1349738892	compute	c22-4c2s4n3	0	4	 Chipkill ECC syndrome = 163	ECC Error	1de07be70	0	0	0	0	0	0	0	1	0	1	0	0	2012-10-08 18:28:12	41
